,cancelacion
2723,0
1330,1
1609,0
478,1
950,0
3998,1
4804,1
5262,1
3589,1
4327,0
1032,1
6440,0
1412,0
6756,0
1950,0
1500,0
1750,0
5804,1
4345,0
3471,0
4902,0
56,0
6385,0
5682,1
1521,0
237,0
477,0
2137,0
5979,1
3755,1
5030,0
1010,0
1897,0
4891,0
2388,0
6233,1
4135,0
4478,0
3584,0
6563,0
6513,0
3548,0
1464,0
4627,0
6505,1
935,0
2226,0
423,0
1324,0
6811,0
4886,0
2884,0
6763,0
1238,0
3370,0
831,0
6017,0
5272,0
5048,0
4182,0
1322,1
4145,1
1355,0
6070,1
2035,0
4505,1
3715,0
457,0
1716,0
2431,0
2484,0
2420,0
5060,0
2572,1
3867,0
4748,0
3948,1
4465,1
3307,1
2027,0
2127,0
4334,0
4615,0
319,1
5392,0
2797,0
1605,0
6059,0
365,0
4660,0
422,0
9,0
2709,0
6135,1
5868,0
137,0
1781,1
4604,0
560,0
6013,1
1147,0
497,0
2193,0
5998,1
4689,0
6920,0
6802,0
5135,0
4205,1
366,0
1507,0
6323,0
1275,0
769,1
7011,0
4729,1
928,0
3371,0
4420,0
6707,0
4059,0
6065,0
6404,0
5476,0
3565,0
1234,0
1895,1
2730,0
4500,0
6629,0
5605,0
961,0
4179,0
3433,0
563,0
3329,0
2172,0
6100,1
5719,0
4121,0
3612,1
3294,0
4904,0
795,0
2398,0
65,0
3983,0
3281,0
4285,0
6475,1
2099,0
6571,0
400,0
3601,0
4922,0
454,0
3657,1
6254,1
6106,0
957,0
2444,0
3145,0
5243,0
2511,1
2918,0
3000,0
686,0
2530,0
6557,0
5502,0
662,0
2745,0
1563,0
721,0
6919,1
4033,0
3541,1
1154,1
6312,0
5161,1
4878,0
2739,0
2457,1
2049,0
5575,0
2003,1
626,0
4915,1
777,0
3126,1
235,1
3327,1
684,0
2500,0
4883,1
6579,0
136,0
2922,1
4930,1
4561,0
3270,0
4712,1
3912,0
3888,0
6005,0
4338,0
1995,1
3723,0
1271,0
740,0
4040,0
3136,0
4962,0
5352,1
3914,1
3636,0
5138,0
3254,0
1600,0
6241,0
1176,0
824,0
6857,0
2033,0
5996,0
1683,1
5541,1
4795,0
4576,0
1459,0
5399,0
4805,1
901,1
6530,0
5629,0
6426,0
3664,1
3286,0
5090,0
2234,1
5746,1
125,0
2574,0
5986,0
6536,0
3495,1
6885,0
4081,0
4573,0
4656,1
4298,0
3011,0
5850,0
1724,1
4635,0
3323,0
1321,1
1243,1
4552,1
4418,0
6330,0
2930,1
1457,1
443,1
5594,0
108,0
2390,1
2072,0
2327,0
4141,1
3217,0
2533,0
4347,1
2538,1
6642,0
3809,0
6807,1
5749,0
3979,1
6956,0
6692,0
5303,0
6863,0
1110,1
2255,0
2329,0
644,0
3182,1
6300,1
3677,0
5034,0
3627,0
1821,1
567,0
5345,1
2020,0
743,0
4642,0
5602,0
5291,1
2161,0
930,1
3086,1
6727,0
6480,0
5751,0
1244,0
1091,0
3029,0
6666,0
1804,0
6364,0
689,0
2019,1
3023,0
1773,0
2673,1
387,0
4488,0
1872,0
1693,0
4047,0
3310,0
6210,0
253,1
4491,1
398,1
3833,1
2040,1
6823,0
2009,0
1217,0
1523,0
1582,0
4747,0
6251,1
559,1
3253,1
5278,0
993,1
3358,0
2270,1
6071,0
6271,0
1315,0
2080,1
2316,1
860,0
5788,0
1729,0
753,0
1113,1
1624,0
2853,0
3115,0
3799,0
5837,0
6171,0
1996,0
944,0
5999,0
913,0
2727,0
241,0
3711,0
1261,0
4770,0
6189,0
2855,0
5230,1
401,1
6494,0
245,0
6456,0
3604,0
6574,0
5329,0
5242,0
6298,0
4439,0
107,0
3632,0
6703,0
850,0
6449,0
4820,1
4765,0
1859,0
